estado,homicidios_x_100K
Aguascalientes,6.5
Baja California,78.7
Baja California Sur,9.8
Campeche,8.2
Coahuila de Zaragoza,7.7
Colima,94.9
Chiapas,9.7
Chihuahua,92.7
Ciudad de México,14.5
Durango,9.2
Guanajuato,87.1
Guerrero,42.6
Hidalgo,11.9
Jalisco,26.8
México,18.2
Michoacán de Ocampo,50.5
Morelos,50.1
Nayarit,15.0
Nuevo León,15.9
Oaxaca,21.2
Puebla,15.7
Querétaro,9.6
Quintana Roo,33.8
San Luis Potosí,28.5
Sinaloa,28.6
Sonora,53.7
Tabasco,24.3
Tamaulipas,22.7
Tlaxcala,11.5
Veracruz de Ignacio de la Llave,14.6
Yucatán,3.1
Zacatecas,76.7
