delegacion,colonia,poblacion
ÁLVARO OBREGÓN,AMPLIACION PRESIDENTES,3218
ÁLVARO OBREGÓN,1ERA SECCION CAÑADA,1770
ÁLVARO OBREGÓN,1ERA  VICTORIA,5726
ÁLVARO OBREGÓN,2DA AMPLIACION PRESIDENTES,6087
ÁLVARO OBREGÓN,2DA DEL MORAL,1493
ÁLVARO OBREGÓN,2DA SECCION CAÑADA,1274
ÁLVARO OBREGÓN,2DO REACOMODO TLACUITLAPA,5368
ÁLVARO OBREGÓN,8 DE AGOSTO,590
ÁLVARO OBREGÓN,ABRAHAM GONZALEZ,314
ÁLVARO OBREGÓN,ACUEDUCTO,1631
ÁLVARO OBREGÓN,ACUILOTLA,923
ÁLVARO OBREGÓN,ALCANTARILLA,1870
ÁLVARO OBREGÓN,ALFONSO XIII,8289
ÁLVARO OBREGÓN,ALTAVISTA,575
ÁLVARO OBREGÓN,AMPLIACION  ALPES,2921
ÁLVARO OBREGÓN,LOMAS DEL CAPULIN,636
ÁLVARO OBREGÓN,AMPLIACION ESTADO DE HIDALGO,1191
ÁLVARO OBREGÓN,AMPLIACION JALALPA,2442
ÁLVARO OBREGÓN,AMPLIACION LA CEBADA,1185
ÁLVARO OBREGÓN,AMPLIACION LA MEXICANA,3954
ÁLVARO OBREGÓN,AMPLIACION LAS AGUILAS,6430
ÁLVARO OBREGÓN,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,8335
ÁLVARO OBREGÓN,AMPLIACION TEPEACA,1251
ÁLVARO OBREGÓN,AMPLIACION TLACUITLAPA,464
ÁLVARO OBREGÓN,ARCOS DEL CENTENARIO,99
ÁLVARO OBREGÓN,ARTURO MARTINEZ,2760
ÁLVARO OBREGÓN,ARVIDE,4276
ÁLVARO OBREGÓN,ATLAMAYA,691
ÁLVARO OBREGÓN,AVE REAL,1703
ÁLVARO OBREGÓN,BALCONES DE CEGUAYO,2792
ÁLVARO OBREGÓN,ALFALFAR,1915
ÁLVARO OBREGÓN,LA OTRA BANDA,2402
ÁLVARO OBREGÓN,BARRIO LORETO,966
ÁLVARO OBREGÓN,BARRIO NORTE,15289
ÁLVARO OBREGÓN,SANTA MARIA NONOALCO,4144
ÁLVARO OBREGÓN,BEJERO,1270
ÁLVARO OBREGÓN,BELEN DE LAS FLORES,4233
ÁLVARO OBREGÓN,BELLAVISTA,8529
ÁLVARO OBREGÓN,BONANZA,815
ÁLVARO OBREGÓN,BOSQUE,1520
